Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating,Found State,Found City
829661,,2021-02-19 17:23:00,9604 Carson Creek,Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829660,,2021-02-19 16:43:00,14204 Jacobson Road,Stray,Normal,Dog,Intact Female,5 months,Carolina Dog,Yellow Brindle/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829659,,2021-02-19 16:43:00,14204 Jacobson Road,Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829643,Frosty,2021-02-19 13:03:00,,Owner Surrender,Normal,Dog,Intact Male,5 years,Labrador Retriever,White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829642,,2021-02-19 11:47:00,85Th Trinity Stree,Public Assist,Normal,Dog,Intact Male,2 years,Chow Chow,Buff,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829630,Daisy,2021-02-18 16:57:00,900 Barton Spring,Public Assist,Normal,Dog,Spayed Female,10 years,Rat Terrier Mix,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829629,Minnie,2021-02-18 16:57:00,900 Barton Spring,Public Assist,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund Wirehair,Brown Brindle,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829618,,2021-02-17 17:27:00,2930 East 12Th Stree,Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829617,,2021-02-17 17:27:00,2930 East 12Th Stree,Public Assist,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829616,,2021-02-17 14:28:00,2751 East Sh 71,Public Assist,Normal,Dog,Neutered Male,2 years,Golden Retriever,Gold,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829611,Chief,2021-02-17 10:33:00,,Owner Surrender,Injured,Cat,Neutered Male,9 years,Domestic Shorthair,Orange,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829602,,2021-02-16 11:59:00,Prairie Trail,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,White/Brown Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829571,,2021-02-13 16:44:00,6220 Brookside Drive,Stray,Normal,Dog,Intact Male,10 months,Great Pyrenees,White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829565,,2021-02-13 14:49:00,18100 Ryegate Drive,Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever,White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829561,,2021-02-13 13:39:00,11402 James Haller Drive,Stray,Sick,Cat,Intact Female,6 months,Domestic Shorthair,Calico,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829556,,2021-02-13 13:04:00,Ross Road And Pearce Lane,Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever/Pit Bull,Black/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829553,,2021-02-13 15:35:00,7304 Lazy Creek Drive,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Blue Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829552,Ivy,2021-02-13 11:43:00,9402 Carson Creek,Stray,Nursing,Dog,Intact Female,1 year,German Shepherd,Tan/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829547,,2021-02-13 09:28:00,6000 Middle Fiskville Road,Stray,Normal,Dog,Intact Male,10 years,Catahoula,Gold,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829541,,2021-02-12 20:32:00,6407 Springdale,Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829540,,2021-02-12 20:30:00,6703 Williamette,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Black/Brown Brindle,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829539,,2021-02-12 18:39:00,508 Howard Lane,Stray,Normal,Dog,Intact Female,9 years,Miniature Poodle,White,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829517,,2021-02-12 15:38:00,13609 North Ih 35,Public Assist,Normal,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829516,,2021-02-12 12:59:00,Pedernales And Robert T Martinez,Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829515,,2021-02-12 12:59:00,Pedernales And Robert T Martinez,Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829514,,2021-02-12 12:59:00,Pedernales And Robert T Martinez,Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829513,,2021-02-12 12:59:00,Pedernales And Robert T Martinez,Stray,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Torbie,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829508,,2021-02-12 12:25:00,West Rundberg And North Lam,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829506,*Mac,2021-02-12 11:30:00,,Owner Surrender,Normal,Other,Unknown,6 months,Guinea Pig,Tricolor,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829505,*Dennis,2021-02-12 11:30:00,,Owner Surrender,Normal,Other,Unknown,6 months,Guinea Pig,Tricolor,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829504,,2021-02-12 10:51:00,606 Coupland Stree,Stray,Normal,Cat,Intact Male,8 months,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829501,Moses,2021-02-12 10:35:00,7601 South Congress Avenue,Stray,Injured,Dog,Intact Male,7 years,American Pit Bull Terrier Mix,Brown/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829498,,2021-02-12 09:41:00,,Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-14 10:02:00,2/12/2020,Euthanasia,Rabies Risk,Unknown,1 year,2 days 00:21:00,2,Not Adopted,TX,Austin 
829488,,2021-02-11 20:48:00,2007 Oakleaf Circle,Stray,Normal,Dog,Intact Female,1 year,Chow Chow Mix,Tan/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829487,Stuart Little,2021-02-11 17:58:00,1156 West Cesar Chavez Stree,Stray,Normal,Dog,Intact Male,2 years,German Shepherd,Tan/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829485,,2021-02-11 15:52:00,10535 Becker Lane,Stray,Normal,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Travis 
829484,,2021-02-11 16:42:00,5900 Sandshof,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever,White/Black,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829483,,2021-02-11 16:06:00,3502 Native Dance,Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever/Golden Retriever,Tan/White,,,,,,,NaT,New intake,Not Adopted,TX,Austin 
829478,*Jasmine,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/Brown,2021-02-12 14:30:00,2/11/2019,Transfer,Partner,Intact Female,2 years,1 days 02:28:00,1,Not Adopted,TX,Austin 
829477,*Jackson,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Male,2 years,Miniature Schnauzer Mix,Buff,2021-02-12 14:30:00,2/11/2019,Transfer,Partner,Intact Male,2 years,1 days 02:28:00,1,Not Adopted,TX,Austin 
829476,*Juliet,2021-02-11 12:02:00,,Owner Surrender,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black,2021-02-12 14:30:00,2/11/2018,Transfer,Partner,Intact Female,3 years,1 days 02:28:00,1,Not Adopted,TX,Austin 
