Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating
829817,Eddie,2021-02-23 20:11:00,4506 Mount Vernon in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Yorkshire Terrier,Brown/Black,,,,,,,NaT,New intake,Not Adopted
829814,,2021-02-23 18:09:00,1714 Patton in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Tan,,,,,,,NaT,New intake,Not Adopted
829806,Wanna,2021-02-23 15:35:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White,,,,,,,NaT,New intake,Not Adopted
829803,Raven,2021-02-23 14:50:00,8701 Black Oak in Austin (TX),Abandoned,Normal,Dog,Intact Female,6 months,German Shepherd,Black/Brown,,,,,,,NaT,New intake,Not Adopted
829802,,2021-02-23 14:42:00,Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees/Border Collie,White/Black,,,,,,,NaT,New intake,Not Adopted
829801,,2021-02-23 13:47:00,Fm 1100 And 290 in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull,Brown/White,,,,,,,NaT,New intake,Not Adopted
829800,,2021-02-23 12:56:00,12166 Metric in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever,Yellow,,,,,,,NaT,New intake,Not Adopted
829799,,2021-02-23 12:48:00,11305 Hillhaven in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair,Orange Tabby,,,,,,,NaT,New intake,Not Adopted
829797,,2021-02-23 12:25:00,11305 Hillhaven in Austin (TX),Stray,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829792,Rocky,2021-02-23 10:32:00,Travis (TX),Owner Surrender,Sick,Dog,Intact Male,3 months,Pomeranian,Brown,2021-02-23 12:30:00,11/23/2020,Transfer,Partner,Intact Male,3 months,0 days 01:58:00,0,Not Adopted
829790,,2021-02-23 08:45:00,11127 Old Lockhart Road in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,Great Pyrenees,White/White,,,,,,,NaT,New intake,Not Adopted
829788,Ranger,2021-02-23 07:29:00,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,8 years,Alaskan Malamute,Black/White,2021-02-23 14:41:00,2/23/2013,Transfer,Partner,Neutered Male,8 years,0 days 07:12:00,0,Not Adopted
829787,,2021-02-23 07:10:00,St Johns And Ih 35 in Austin (TX),Stray,Nursing,Cat,Intact Female,2 days,Domestic Shorthair,White,,,,,,,NaT,New intake,Not Adopted
829786,,2021-02-23 07:10:00,St Johns And Ih 35 in Austin (TX),Stray,Nursing,Cat,Intact Male,2 days,Domestic Shorthair,White,,,,,,,NaT,New intake,Not Adopted
829785,,2021-02-23 07:10:00,St Johns And Ih 35 in Austin (TX),Stray,Nursing,Cat,Intact Male,2 days,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829784,,2021-02-23 07:10:00,St Johns And Ih 35 in Austin (TX),Stray,Nursing,Cat,Intact Male,2 days,Domestic Shorthair,Brown Tabby,,,,,,,NaT,New intake,Not Adopted
829782,,2021-02-22 21:46:00,1215 East Slaughter Lane in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,2021-02-23 08:01:00,2/22/2020,Euthanasia,Rabies Risk,Unknown,1 year,0 days 10:15:00,0,Not Adopted
829780,Shug,2021-02-22 20:16:00,12425 Lamplight Village Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Bulldog,White/Brown,2021-02-23 14:45:00,9/23/2019,Return to Owner,,Intact Male,1 year,0 days 18:29:00,0,Not Adopted
829778,Baby Girl,2021-02-22 17:29:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 months,Pit Bull,Tan,,,,,,,NaT,New intake,Not Adopted
829777,,2021-02-22 17:37:00,124 West Anderson Lane in Austin (TX),Abandoned,Normal,Cat,Spayed Female,1 year,Siamese mix,Black/Brown,,,,,,,NaT,New intake,Not Adopted
829776,Red,2021-02-22 17:29:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 months,Pit Bull,Tan,,,,,,,NaT,New intake,Not Adopted
829775,Blue,2021-02-22 17:29:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull,Brown Brindle,,,,,,,NaT,New intake,Not Adopted
829764,Chespirita,2021-02-22 15:07:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,8 years,Domestic Shorthair,Tortie,,,,,,,NaT,New intake,Not Adopted
829763,,2021-02-22 15:25:00,20810 Galilee Court in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Boxer,Brown Brindle/White,,,,,,,NaT,New intake,Not Adopted
829761,Brigitte,2021-02-22 15:07:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Tortie,,,,,,,NaT,New intake,Not Adopted
829758,*Teapot,2021-02-22 16:31:00,2216 Perry in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair,Black/Tan,,,,,,,NaT,New intake,Not Adopted
829757,Shakira,2021-02-22 15:07:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Tortie/Orange,,,,,,,NaT,New intake,Not Adopted
829756,Amigo,2021-02-22 15:07:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,11 years,Domestic Shorthair,Lynx Point/White,,,,,,,NaT,New intake,Not Adopted
829752,,2021-02-19 11:46:00,4407 Merle Drive in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Blue,,,,,,,NaT,New intake,Not Adopted
829751,,2021-02-19 11:46:00,4407 Merle Drive in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Blue,,,,,,,NaT,New intake,Not Adopted
829750,,2021-02-19 11:46:00,4407 Merle Drive in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Blue,,,,,,,NaT,New intake,Not Adopted
