Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Outcome Type,Outcome Subtype,shelter_time
825547,,2020-11-05 21:50:00,11/05/2020 09:50:00 PM,4800 Hale in Austin (TX),Public Assist,Normal,Bird,Unknown,1 year,Cockatiel,White/Yellow,2020-11-14 13:19:00,Adoption,,8 days 15:29:00
787329,,2019-01-11 12:21:00,01/11/2019 12:21:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Yellow,2019-01-13 16:21:00,Adoption,,2 days 04:00:00
720718,Tito,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Yellow,2016-03-08 14:20:00,Adoption,,22 days 22:18:00
822864,,2020-09-10 17:24:00,09/10/2020 05:24:00 PM,4301 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Cockatiel,Yellow/White,2020-09-19 11:34:00,Adoption,Foster,8 days 18:10:00
751514,Starlight,2017-06-09 10:34:00,06/09/2017 10:34:00 AM,12120 Manchaca Rd in Austin (TX),Owner Surrender,Normal,Bird,Unknown,5 months,Chicken Mix,Red,2017-06-10 10:42:00,Adoption,Offsite,1 days 00:08:00
723996,*Lemon Head,2016-04-10 12:20:00,04/10/2016 12:20:00 PM,Washita And Alexandria in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue/Gray,2016-04-17 11:36:00,Adoption,,6 days 23:16:00
818041,,2020-05-31 18:33:00,05/31/2020 06:33:00 PM,1103 E Applegate in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,White/Red,2020-06-09 21:47:00,Adoption,,9 days 03:14:00
720744,Rooster 28,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,2016-03-08 13:49:00,Adoption,,22 days 21:47:00
739251,,2016-11-29 16:21:00,11/29/2016 04:21:00 PM,2825 Locke in Austin (TX),Public Assist,Normal,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,2016-12-05 18:53:00,Adoption,,6 days 02:32:00
713039,,2015-10-02 01:23:00,10/02/2015 01:23:00 AM,6405 Jennings Dr in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Parrot,Green/Yellow,2015-10-06 14:36:00,Adoption,,4 days 13:13:00
