Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A763638,Kiwi,2017-12-12 15:24:00,12/12/2017 03:24:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,8 months,Cinnamon,Gray,Kiwi,2018-01-13 14:32:00,01/13/2018 02:32:00 PM,04/12/2017,Adoption,,Other,Spayed Female,9 months,Cinnamon,Gray,31 days 23:08:00
A758257,*Cosmo,2017-09-13 12:29:00,09/13/2017 12:29:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,5 months,Dutch/Angora-Satin,Black/White,*Cosmo,2017-10-01 16:42:00,10/01/2017 04:42:00 PM,03/15/2017,Adoption,,Other,Intact Male,6 months,Dutch/Angora-Satin,Black/White,18 days 04:13:00
A755830,*Moana,2017-08-09 14:09:00,08/09/2017 02:09:00 PM,5704 Parkwood Drive in Austin (TX),Owner Surrender,Normal,Other,Spayed Female,3 years,Rabbit Sh Mix,Tortie,*Moana,2017-09-23 17:24:00,09/23/2017 05:24:00 PM,08/09/2014,Adoption,,Other,Spayed Female,3 years,Rabbit Sh Mix,Tortie,45 days 03:15:00
A803767,,2019-09-05 17:41:00,09/05/2019 05:41:00 PM,969 And Imperial Drive in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Guinea Pig,Brown/White,,2019-09-09 18:32:00,09/09/2019 06:32:00 PM,09/05/2018,Adoption,,Other,Intact Male,1 year,Guinea Pig,Brown/White,4 days 00:51:00
A752640,*Otter,2017-06-25 13:19:00,06/25/2017 01:19:00 PM,10000 Research Blvd in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rex,Black/White,*Otter,2017-07-07 12:45:00,07/07/2017 12:45:00 PM,06/25/2016,Adoption,,Other,Neutered Male,1 year,Rex,Black/White,11 days 23:26:00
A718924,*Parsnip,2016-01-09 12:41:00,01/09/2016 12:41:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Californian,White/Gray,*Parsnip,2016-03-29 17:28:00,03/29/2016 05:28:00 PM,01/09/2015,Adoption,,Other,Spayed Female,1 year,Californian,White/Gray,80 days 04:47:00
A811478,,2020-01-04 12:59:00,01/04/2020 12:59:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,5 months,Guinea Pig,Tan/Tricolor,,2020-01-12 11:38:00,01/12/2020 11:38:00 AM,08/04/2019,Adoption,,Other,Intact Male,5 months,Guinea Pig,Tan/Tricolor,7 days 22:39:00
A754916,Perseus,2017-10-06 13:46:00,10/06/2017 01:46:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,6 months,Rabbit Sh Mix,Black,Perseus,2017-08-19 14:36:00,08/19/2017 02:36:00 PM,03/26/2017,Adoption,,Other,Neutered Male,4 months,Rabbit Sh Mix,Black,-48 days +00:50:00
A754916,Perseus,2017-10-06 13:46:00,10/06/2017 01:46:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,6 months,Rabbit Sh Mix,Black,Perseus,2017-11-12 12:53:00,11/12/2017 12:53:00 PM,03/26/2017,Adoption,,Other,Neutered Male,7 months,Rabbit Sh Mix,Black,36 days 23:07:00
A754916,Perseus,2017-07-26 15:01:00,07/26/2017 03:01:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,4 months,Rabbit Sh Mix,Black,Perseus,2017-08-19 14:36:00,08/19/2017 02:36:00 PM,03/26/2017,Adoption,,Other,Neutered Male,4 months,Rabbit Sh Mix,Black,23 days 23:35:00
A754916,Perseus,2017-07-26 15:01:00,07/26/2017 03:01:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,4 months,Rabbit Sh Mix,Black,Perseus,2017-11-12 12:53:00,11/12/2017 12:53:00 PM,03/26/2017,Adoption,,Other,Neutered Male,7 months,Rabbit Sh Mix,Black,108 days 21:52:00
A793881,*George,2019-05-01 13:39:00,05/01/2019 01:39:00 PM,1321 Mckie Cv in Austin (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh Mix,White/Tan,*George,2019-05-15 18:11:00,05/15/2019 06:11:00 PM,05/01/2017,Adoption,,Other,Neutered Male,2 years,Rabbit Sh Mix,White/Tan,14 days 04:32:00
A823951,Erine W/ Bert,2020-10-02 12:31:00,10/02/2020 12:31:00 PM,124 W Anderson Lane in Austin (TX),Stray,Normal,Other,Unknown,1 year,Guinea Pig,Tricolor,Erine W/ Bert,2020-10-06 18:45:00,10/06/2020 06:45:00 PM,10/02/2019,Adoption,,Other,Unknown,1 year,Guinea Pig,Tricolor,4 days 06:14:00
A822041,,2020-08-25 11:40:00,08/25/2020 11:40:00 AM,3101 Stirrat Street in Travis (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Black/White,,2020-08-29 12:04:00,08/29/2020 12:04:00 PM,08/25/2018,Adoption,,Other,Intact Male,2 years,Rabbit Sh,Black/White,4 days 00:24:00
A735525,Lucy,2016-09-25 08:47:00,09/25/2016 08:47:00 AM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,5 years,Rex Mix,White/Brown,Lucy,2016-10-16 09:14:00,10/16/2016 09:14:00 AM,09/25/2011,Adoption,,Other,Spayed Female,5 years,Rex Mix,White/Brown,21 days 00:27:00
A675558,Sam,2014-03-29 11:28:00,03/29/2014 11:28:00 AM,Austin (TX),Owner Surrender,Normal,Other,Neutered Male,1 year,Sugar Glider,Agouti/Gray,Sam,2014-04-25 18:44:00,04/25/2014 06:44:00 PM,03/29/2013,Adoption,Foster,Other,Neutered Male,1 year,Sugar Glider,Agouti/Gray,27 days 07:16:00
