Animal ID,Name,DateTime,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Date of Birth,Outcome Type,Outcome Subtype,Sex upon Outcome,Age upon Outcome,shelter_time,shelter_days,Adopt Rating,Found State,Found City
816841,*Ewok,2020-04-29 17:36:00,201 Lavac,Public Assist,Normal,Other,Intact Female,1 year,Rabbit Lh,Brown/Black,2020-05-26 07:33:00,4/29/2019,Adoption,Foster,Intact Female,1 year,26 days 13:57:00,26,C,TX,Austin 
816834,,2020-04-29 15:07:00,,Wildlife,Injured,Other,Unknown,1 year,Bat,Brown,2020-04-30 08:10:00,4/29/2019,Euthanasia,Rabies Risk,Unknown,1 year,0 days 17:03:00,0,Not Adopted,TX,Austin 
816828,,2020-04-29 11:57:00,9701 Dessau Road,Wildlife,Sick,Other,Unknown,2 years,Skunk,Black/White,2020-04-30 08:08:00,4/29/2018,Euthanasia,Rabies Risk,Unknown,2 years,0 days 20:11:00,0,Not Adopted,TX,Austin 
816827,*Pinky,2020-04-29 11:51:00,8701 Research Boulevard,Stray,Medical,Dog,Intact Male,2 years,American Pit Bull Terrier Mix,White,2020-05-09 06:49:00,4/29/2018,Transfer,Partner,Intact Male,2 years,9 days 18:58:00,9,Not Adopted,TX,Austin 
816825,,2020-04-29 11:27:00,West Howard Lane And Mopac Service Road,Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair,Orange Tabby,2020-06-03 08:50:00,3/29/2020,Adoption,Foster,Spayed Female,2 months,34 days 21:23:00,34,D,TX,Austin 
816823,*Archie,2020-04-29 09:55:00,1340 Airport Commerce Drive,Stray,Sick,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White,2020-07-17 13:48:00,3/1/2020,Adoption,Foster,Neutered Male,4 months,79 days 03:53:00,79,D,TX,Austin 
816818,*Relish,2020-04-29 08:14:00,1881 Grove Boulevard,Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Brown/Black,2020-05-20 09:03:00,4/29/2019,Adoption,Foster,Neutered Male,1 year,21 days 00:49:00,21,C,TX,Austin 
816815,Lulu,2020-04-28 21:36:00,7576 Chevy Chase,Public Assist,Normal,Dog,Intact Female,1 year,Rat Terrier,White/Tan,2020-05-03 14:53:00,4/28/2019,Transfer,Partner,Intact Female,1 year,4 days 17:17:00,4,Not Adopted,TX,Austin 
816814,Gary,2020-04-28 19:32:00,4102 Ave D,Public Assist,Normal,Dog,Neutered Male,1 year,Great Pyrenees,White/Blue Merle,2020-04-30 16:37:00,4/28/2019,Return to Owner,,Neutered Male,1 year,1 days 21:05:00,1,Not Adopted,TX,Austin 
816810,,2020-04-28 13:24:00,9604 Bock Road in Mustang Ridge,Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White,2020-05-02 16:54:00,3/4/2020,Transfer,Partner,Intact Female,1 month,4 days 03:30:00,4,Not Adopted,TX, Ridge 
816809,,2020-04-28 13:24:00,9604 Bock Road in Mustang Ridge,Stray,Normal,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White,2020-05-02 16:54:00,3/4/2020,Transfer,Partner,Spayed Female,1 month,4 days 03:30:00,4,Not Adopted,TX, Ridge 
816808,,2020-04-28 13:24:00,9604 Bock Road in Mustang Ridge,Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Brown/Black,2020-05-02 16:53:00,3/4/2020,Transfer,Partner,Intact Female,1 month,4 days 03:29:00,4,Not Adopted,TX, Ridge 
816807,,2020-04-28 13:24:00,9604 Bock Road in Mustang Ridge,Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Brown/White,2020-05-22 16:40:00,3/4/2020,Adoption,Foster,Neutered Male,2 months,24 days 03:16:00,24,C,TX, Ridge 
816806,,2020-04-28 13:24:00,9604 Bock Road in Mustang Ridge,Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Brown/White,2020-06-03 21:29:00,3/19/2020,Adoption,Foster,Spayed Female,2 months,36 days 08:05:00,36,D,TX, Ridge 
816804,,2020-04-28 13:43:00,Flournoy Drive And South 1St Stree,Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby,2020-04-28 16:30:00,10/28/2017,Transfer,Partner,Intact Female,2 years,0 days 02:47:00,0,Not Adopted,TX,Austin 
816795,*Ketchup,2020-04-28 11:27:00,18701  River Timber D,Stray,Normal,Dog,Neutered Male,2 years,German Shepherd,Brown,2020-05-19 17:17:00,4/28/2018,Adoption,,Neutered Male,2 years,21 days 05:50:00,21,C,TX,Travis 
816788,*Bax,2020-04-28 08:10:00,12410 Jarrod Lee Cove,Stray,Injured,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby,2020-05-08 10:54:00,4/28/2010,Transfer,Partner,Neutered Male,10 years,10 days 02:44:00,10,Not Adopted,TX,Austin 
816787,,2020-04-28 08:01:00,Gus Garc,Stray,Injured,Dog,Intact Female,2 months,Chihuahua Shorthair,Black/Brown,2020-05-01 13:00:00,2/13/2020,Transfer,Partner,Intact Female,2 months,3 days 04:59:00,3,Not Adopted,TX,Austin 
816773,,2020-04-27 11:45:00,13800 Lothian Drive,Stray,Sick,Cat,Intact Male,7 years,Domestic Shorthair,Orange Tabby/Brown,2020-04-27 12:51:00,4/27/2013,Euthanasia,Suffering,Intact Male,7 years,0 days 01:06:00,0,Not Adopted,TX,Travis 
816770,Tank,2020-04-27 10:47:00,1327 Fm,Stray,Injured,Dog,Intact Male,2 years,Bulldog Mix,Black/White,2020-05-03 14:53:00,4/27/2018,Transfer,Partner,Intact Male,2 years,6 days 04:06:00,6,Not Adopted,TX,Travis 
816762,*Rolfe,2020-04-27 08:03:00,Manor And Randolph,Stray,Normal,Dog,Intact Male,2 years,German Shepherd,Black/Tan,2020-05-27 16:34:00,4/27/2018,Adoption,,Neutered Male,2 years,30 days 08:31:00,30,,TX,Austin 
816760,,2020-04-26 19:31:00,9100 Waterford Centre Blvd,Public Assist,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Black/White,2020-04-27 16:25:00,4/26/2018,Return to Owner,,Spayed Female,2 years,0 days 20:54:00,0,Not Adopted,TX,Austin 
816759,,2020-04-26 19:31:00,9100 Waterford Centre Blvd,Public Assist,Normal,Cat,Spayed Female,7 years,Domestic Longhair,Blue/White,2020-04-27 16:25:00,4/27/2013,Return to Owner,,Spayed Female,7 years,0 days 20:54:00,0,Not Adopted,TX,Austin 
816758,*Adelaide,2020-04-26 19:07:00,5301 Abingdon Pl,Stray,Normal,Dog,Intact Female,1 year,German Shepherd,Black/Brown,2020-05-20 10:29:00,4/26/2019,Adoption,Foster,Spayed Female,1 year,23 days 15:22:00,23,C,TX,Austin 
816754,*Zuko,2020-04-26 14:23:00,207 East Eggleston Street in Mano,Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Blue/White,2020-05-08 12:29:00,4/26/2019,Adoption,Foster,Neutered Male,1 year,11 days 22:06:00,11,B,TX, Manor 
816753,*Marx,2020-04-26 14:07:00,923 East 50Th Stree,Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Medium Hair,Black/White,2020-06-11 08:53:00,3/26/2020,Adoption,Foster,Neutered Male,2 months,45 days 18:46:00,45,D,TX,Austin 
816751,,2020-04-26 13:29:00,124 West Anderson Lane,Abandoned,Normal,Cat,Intact Female,2 years,Siamese mix,Seal Point,2020-04-30 15:16:00,4/26/2018,Transfer,Partner,Intact Female,2 years,4 days 01:47:00,4,Not Adopted,TX,Austin 
816750,*Azula,2020-04-26 13:29:00,124 West Anderson Lane,Abandoned,Normal,Cat,Intact Female,10 months,Domestic Shorthair,Blue,2020-05-18 17:09:00,6/26/2019,Adoption,Foster,Spayed Female,10 months,22 days 03:40:00,22,C,TX,Austin 
816749,,2020-04-26 13:29:00,124 West Anderson Lane,Abandoned,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Black,2020-04-30 15:18:00,2/11/2020,Transfer,Partner,Intact Male,2 months,4 days 01:49:00,4,Not Adopted,TX,Austin 
816748,,2020-04-26 13:29:00,124 West Anderson Lane,Abandoned,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Black/White,2020-04-30 15:18:00,2/11/2020,Transfer,Partner,Intact Female,2 months,4 days 01:49:00,4,Not Adopted,TX,Austin 
816746,,2020-04-26 13:29:00,124 West Anderson Lane,Abandoned,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Tortie,2020-04-30 15:18:00,2/11/2020,Transfer,Partner,Intact Female,2 months,4 days 01:49:00,4,Not Adopted,TX,Austin 
816744,*Tom,2020-04-26 13:16:00,6503 Lynch L,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby/White,2020-06-02 08:42:00,3/27/2020,Adoption,Foster,Neutered Male,2 months,36 days 19:26:00,36,D,TX,Austin 
