Animal ID,Name_in,DateTime_in,MonthYear_in,Found Location,Intake Type,Intake Condition,Animal Type_in,Sex upon Intake,Age upon Intake,Breed_in,Color_in,Name_out,DateTime_out,MonthYear_out,Date of Birth,Outcome Type,Outcome Subtype,Animal Type_out,Sex upon Outcome,Age upon Outcome,Breed_out,Color_out,shelter_time
A825547,,2020-11-05 21:50:00,11/05/2020 09:50:00 PM,4800 Hale in Austin (TX),Public Assist,Normal,Bird,Unknown,1 year,Cockatiel,White/Yellow,,2020-11-14 13:19:00,11/14/2020 01:19:00 PM,11/05/2019,Adoption,,Bird,Unknown,1 year,Cockatiel,White/Yellow,8 days 15:29:00
A787329,,2019-01-11 12:21:00,01/11/2019 12:21:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Yellow,,2019-01-13 16:21:00,01/13/2019 04:21:00 PM,01/11/2018,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Yellow,2 days 04:00:00
A720718,Tito,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Yellow,Tito,2016-03-08 14:20:00,03/08/2016 02:20:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Yellow,22 days 22:18:00
A822864,,2020-09-10 17:24:00,09/10/2020 05:24:00 PM,4301 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Cockatiel,Yellow/White,,2020-09-19 11:34:00,09/19/2020 11:34:00 AM,09/10/2018,Adoption,Foster,Bird,Unknown,2 years,Cockatiel,Yellow/White,8 days 18:10:00
A751514,Starlight,2017-06-09 10:34:00,06/09/2017 10:34:00 AM,12120 Manchaca Rd in Austin (TX),Owner Surrender,Normal,Bird,Unknown,5 months,Chicken Mix,Red,Starlight,2017-06-10 10:42:00,06/10/2017 10:42:00 AM,12/09/2016,Adoption,Offsite,Bird,Unknown,6 months,Chicken Mix,Red,1 days 00:08:00
A723996,*Lemon Head,2016-04-10 12:20:00,04/10/2016 12:20:00 PM,Washita And Alexandria in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue/Gray,*Lemon Head,2016-04-17 11:36:00,04/17/2016 11:36:00 AM,04/10/2015,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue/Gray,6 days 23:16:00
A818041,,2020-05-31 18:33:00,05/31/2020 06:33:00 PM,1103 E Applegate in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,White/Red,,2020-06-09 21:47:00,06/09/2020 09:47:00 PM,05/31/2019,Adoption,,Bird,Intact Male,1 year,Chicken,White/Red,9 days 03:14:00
A720744,Rooster 28,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,Rooster 28,2016-03-08 13:49:00,03/08/2016 01:49:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Red,22 days 21:47:00
A739251,,2016-11-29 16:21:00,11/29/2016 04:21:00 PM,2825 Locke in Austin (TX),Public Assist,Normal,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,,2016-12-05 18:53:00,12/05/2016 06:53:00 PM,11/29/2015,Adoption,,Bird,Unknown,1 year,Cockatiel Mix,Gray/White,6 days 02:32:00
A713039,,2015-10-02 01:23:00,10/02/2015 01:23:00 AM,6405 Jennings Dr in Austin (TX),Stray,Injured,Bird,Unknown,1 year,Parrot,Green/Yellow,,2015-10-06 14:36:00,10/06/2015 02:36:00 PM,10/02/2014,Adoption,,Bird,Unknown,1 year,Parrot,Green/Yellow,4 days 13:13:00
A751393,*Clark Gable,2017-06-07 16:36:00,06/07/2017 04:36:00 PM,10000 Research Blvd in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,White/Black,*Clark Gable,2017-06-17 13:22:00,06/17/2017 01:22:00 PM,06/07/2016,Adoption,,Bird,Intact Male,1 year,Chicken,White/Black,9 days 20:46:00
A779661,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,,2018-09-22 19:12:00,09/22/2018 07:12:00 PM,09/04/2017,Adoption,,Bird,Intact Male,1 year,Chicken,Red/Black,18 days 06:10:00
A800449,,2019-07-21 13:27:00,07/21/2019 01:27:00 PM,720 Pathway Lane in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Conure,Yellow/Green,,2019-07-26 17:45:00,07/26/2019 05:45:00 PM,07/21/2017,Adoption,,Bird,Unknown,2 years,Conure,Yellow/Green,5 days 04:18:00
A771817,,2018-05-10 12:06:00,05/10/2018 12:06:00 PM,12112 Lavinia Ln in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Chicken Mix,Red,,2018-05-24 11:36:00,05/24/2018 11:36:00 AM,05/10/2016,Adoption,Foster,Bird,Unknown,2 years,Chicken Mix,Red,13 days 23:30:00
A779676,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Unknown,1 year,Chicken,Brown,,2018-09-22 19:14:00,09/22/2018 07:14:00 PM,09/04/2017,Adoption,,Bird,Unknown,1 year,Chicken,Brown,18 days 06:12:00
A773388,,2018-05-31 13:36:00,05/31/2018 01:36:00 PM,"614 Commons Ford Rd, Austin, Tx 78733 in Austin (TX)",Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue/White,,2018-06-04 00:00:00,06/04/2018 12:00:00 AM,05/31/2017,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Blue/White,3 days 10:24:00
A711895,,2015-09-13 12:49:00,09/13/2015 12:49:00 PM,Valleyridge Dr And Dolphin Cv in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Conure Mix,Green,,2015-09-16 19:32:00,09/16/2015 07:32:00 PM,09/13/2014,Adoption,,Bird,Unknown,1 year,Conure Mix,Green,3 days 06:43:00
A754903,Sunshine,2017-07-26 13:47:00,07/26/2017 01:47:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Green/Yellow,Sunshine,2017-07-27 16:18:00,07/27/2017 04:18:00 PM,07/26/2016,Adoption,,Bird,Unknown,1 year,Parakeet Mix,Green/Yellow,1 days 02:31:00
A720743,Rooster 27,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,Rooster 27,2016-03-08 13:47:00,03/08/2016 01:47:00 PM,02/14/2015,Adoption,,Bird,Intact Male,1 year,Chicken Mix,Black/Red,22 days 21:45:00
